# char|        |         | char| mJy*km/s|    |char|char|char|char|     Miotello |     Miotello |      Miotello|    | ouble| Meath|  det|ong| mJy  |    M_sun| (M_Earth)|  (L_sun)|
# |        |         |	   |         |    |    |    |    | Meg|              |              |              |    |      |(Megan|     |   |      |   (Anna)|  (Megan))| (Carlo))|
# N/A|        |         |     |  N/A    | N/A|    | N/A| N/A|    |              |              |              |    | 1e+20|      |     |   |      |         |          |         |
source ID_ALMA CODE lF13 F13 e13 lF18 F18 e18 mgas M_gas[M_sun] Min_gas[M_sun] Max_gas[M_sun] d mstar Md CN i F_dust M_dust M_d L_star logMgas l_Mgas Dp_Mg Dn_Mg
Sz113 M37 III_74 < 105.0 35.0 < 120.0 40.0 <1.0 0.00032925 0.0 0.0 200 0.19 9.34 0 38 22.35 1.27e-05 9.34 0.064 -4.753366475773177 < 0.14315456428412787 0.14315456428412787
J16085828-3907355 G31 III_75 < 153.0 51.0 < 186.0 62.0 <1.0 0.00050775 0.0 0.0 200 -99.0 <0.39 0 -99 0.16 1e-07 <0.39 -99.0 -4.581744406284368 < 0.14315456428412787 0.14315456428412787
J16085834-3907491 G32 III_76 < 168.0 56.0 < 198.0 66.0 <1.0 0.00054 0.0 0.0 200 -99.0 <0.43 0 -99 0.04 1e-07 <0.43 -99.0 -4.539109368095248 < 0.14315456428412787 0.14315456428412787
J16090141-3925119 M34 III_79 . 1637.0 89.0 < 120.0 40.0 1.0 0.0002575 0.00015 0.005 200 0.24 7.31 1 73 17.5 1.7e-05 7.31 0.148 -3.2752283350508855 . 0.2852141449307653 0.19183585269069872
Sz114 M42 III_80 . 716.0 109.0 < 102.0 34.0 0.4 9.6e-05 6.5e-05 0.00028 200 0.23 40.30 1 17 96.41 8.939e-05 40.30 0.312 -3.936504235844937 . 0.18299056920394055 0.13629167068777717
Sz115 M38 III_82 < 81.0 27.0 < 120.0 40.0 <1.0 0.00032925 0.0 0.0 200 0.22 <0.30 0 -99 0.29 1e-07 <0.30 0.175 -4.871667941325487 < 0.14315456428412787 0.14315456428412787
J16091644-3904438 G33 III_85 < 165.0 55.0 < 204.0 68.0 <1.0 0.00055625 0.0 0.0 200 -99.0 <0.43 0 -99 0.24 1e-07 <0.43 -99.0 -4.54732333205948 < 0.14315456428412698 0.14315456428412698
J16092032-3904015 G35 III_88 < 153.0 51.0 < 183.0 61.0 <1.0 0.0004995 0.0 0.0 200 -99.0 <0.43 0 -99 0.13 1e-07 <0.43 -99.0 -4.581744406284368 < 0.14315456428412787 0.14315456428412787
J16092317-3904074 G36 III_89 < 156.0 52.0 < 198.0 66.0 <1.0 0.00054 0.0 0.0 200 -99.0 <0.43 0 -99 0.25 1e-07 <0.43 -99.0 -4.572892425887832 < 0.14315456428412787 0.14315456428412787
J16092697-3836269 G17 III_91 . 591.0 108.0 < 180.0 60.0 0.4 7.8e-05 6e-05 0.00018 200 0.2 1.63 0 -99 3.89 1.9e-06 1.63 0.115 -4.050030935135859 . 0.14755827515880748 0.12680867090595319
